0 50   1:41.82
1 100 2:23.28
2 200 5:26.15
3 300 7:24.73
4 400 12:58.06
5 500 16:16.63
6 600 19:26.98
7 700 22:07.25
8 800 28:01.71
9 900 32:51.70
10 1000 39:36.25
11 2000 1:44:18
12 3000 3:07:03
13 4000 5:06:35
14 10000 25:33:01
